                    Player          POS      sq_rank log10_salary       sq_gp       sq_gs    sq_snaps sq_snaps_per    nl_plays nl_plays_comp Comp_Percent         YDS     YDS.ATT       nl_td         INT      nl_fum
Player         1.000000000 -0.000499928 -0.001195358  -0.02399592 -0.03895118  0.04848996 -0.01323018 -0.001923856 -0.04693644   -0.04216591  -0.02086123 -0.04461211  0.01157942 -0.02488644 -0.05786850 -0.02360806
POS           -0.000499928  1.000000000  0.231429253  -0.05808702  0.11148382  0.02681637  0.12633272  0.148321891 -0.29733481   -0.33644062  -0.30704499 -0.31063679  0.47376771 -0.09986321 -0.40971759 -0.26678280
sq_rank       -0.001195358  0.231429253  1.000000000  -0.60118990 -0.44622029 -0.72618287 -0.76709901 -0.732933206 -0.79941251   -0.79125591  -0.30544370 -0.66732182 -0.18563668 -0.67526261 -0.33922096 -0.45445172
log10_salary  -0.023995922 -0.058087020 -0.601189897   1.00000000  0.45787195  0.62754742  0.66094183  0.579694050  0.60238857    0.56124894   0.15876088  0.53331325  0.23137900  0.57066257  0.31488563  0.38057255
sq_gp         -0.038951175  0.111483822 -0.446220293   0.45787195  1.00000000  0.53976932  0.69319284  0.592942055  0.44750813    0.44349238   0.30804507  0.31702426  0.38152297  0.36661675  0.07093225  0.23994338
sq_gs          0.048489956  0.026816372 -0.726182871   0.62754742  0.53976932  1.00000000  0.87024167  0.849604669  0.66716022    0.62122848   0.14430779  0.57258742  0.33279725  0.63992664  0.29893518  0.33513609
sq_snaps      -0.013230179  0.126332720 -0.767099009   0.66094183  0.69319284  0.87024167  1.00000000  0.966300931  0.75896358    0.70148965   0.17357690  0.64274477  0.44682614  0.74766196  0.33131223  0.42015622
sq_snaps_per  -0.001923856  0.148321891 -0.732933206   0.57969405  0.59294205  0.84960467  0.96630093  1.000000000  0.73217747    0.67388768   0.14234270  0.63317526  0.43162878  0.73491368  0.33161394  0.39862783
nl_plays      -0.046936437 -0.297334808 -0.799412514   0.60238857  0.44750813  0.66716022  0.75896358  0.732177472  1.00000000    0.98258149   0.31778572  0.89602282  0.05275385  0.75760122  0.62825193  0.67394693
nl_plays_comp -0.042165910 -0.336440619 -0.791255915   0.56124894  0.44349238  0.62122848  0.70148965  0.673887679  0.98258149    1.00000000   0.42123270  0.84403688 -0.01394511  0.66926221  0.54400544  0.64709905
Comp_Percent  -0.020861234 -0.307044989 -0.305443696   0.15876088  0.30804507  0.14430779  0.17357690  0.142342698  0.31778572    0.42123270   1.00000000  0.12242292  0.09861272  0.03220934 -0.03409973  0.14895363
YDS           -0.044612107 -0.310636791 -0.667321820   0.53331325  0.31702426  0.57258742  0.64274477  0.633175263  0.89602282    0.84403688   0.12242292  1.00000000  0.03236868  0.82581321  0.79947691  0.67651277
YDS.ATT        0.011579421  0.473767706 -0.185636677   0.23137900  0.38152297  0.33279725  0.44682614  0.431628781  0.05275385   -0.01394511   0.09861272  0.03236868  1.00000000  0.27850710 -0.08698163 -0.02355967
nl_td         -0.024886439 -0.099863210 -0.675262613   0.57066257  0.36661675  0.63992664  0.74766196  0.734913681  0.75760122    0.66926221   0.03220934  0.82581321  0.27850710  1.00000000  0.64909553  0.54269336
INT           -0.057868503 -0.409717591 -0.339220955   0.31488563  0.07093225  0.29893518  0.33131223  0.331613935  0.62825193    0.54400544  -0.03409973  0.79947691 -0.08698163  0.64909553  1.00000000  0.58905865
nl_fum        -0.023608055 -0.266782800 -0.454451716   0.38057255  0.23994338  0.33513609  0.42015622  0.398627830  0.67394693    0.64709905   0.14895363  0.67651277 -0.02355967  0.54269336  0.58905865  1.00000000
